"message_id","action","message_type","reason","confidence","evidence_message_ids"
"msg_108","mute","scam","Message contains instructions attempting to override the routing system, consistent with a prompt injection attack.","0.91","none"
"msg_019","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_088","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_056","notify","personal","The message contains a direct mention of the user.","0.82","message_0226;message_0168;message_0167"
"msg_027","mute","scam","The message contains suspicious signals that suggest it may be a scam.","0.82","message_0272;message_0109;message_0033"
"msg_050","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0156;message_0155;message_0279"
"msg_083","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0219"
"msg_063","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0182;message_0181"
"msg_033","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0409;message_0280;message_0393"
"msg_061","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_020","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0095;message_0096;message_0390"
"msg_017","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_058","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_026","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_047","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0410;message_0130;message_0150"
"msg_046","mute","scam","Message requests OTP or verification code from the user, consistent with a phishing or scam pattern.","0.9","none"
"msg_042","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0057;message_0240;message_0140"
"msg_079","mute","scam","Message requests OTP or verification code from the user, consistent with a phishing or scam pattern.","0.9","none"
"msg_098","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0226;message_0168;message_0167"
"msg_037","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0410;message_0130;message_0150"
"msg_007","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0070;message_0069"
"msg_085","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_001","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0057;message_0240;message_0140"
"msg_021","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0410;message_0130;message_0150"
"msg_028","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_012","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_064","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0087;message_0184;message_0088"
"msg_103","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0390;message_0332;message_0231"
"msg_031","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0055;message_0249;message_0228"
"msg_057","notify","personal","The message contains a direct mention of the user.","0.82","message_0371;message_0230;message_0170"
"msg_087","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_067","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0410;message_0130;message_0150"
"msg_039","notify","personal","The message contains a direct mention of the user.","0.82","message_0255;message_0037;message_0134"
"msg_082","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0380;message_0218;message_0397"
"msg_066","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_049","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0153;message_0291;message_0154"
"msg_015","mute","scam","Message requests OTP or verification code from the user, consistent with a phishing or scam pattern.","0.9","none"
"msg_051","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_097","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0226;message_0168;message_0167"
"msg_089","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","none"
"msg_053","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0411;message_0253;message_0162"
"msg_059","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0173;message_0174;message_0214"
"msg_024","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_072","mute","scam","Message requests OTP or verification code from the user, consistent with a phishing or scam pattern.","0.9","none"
"msg_036","mute","scam","The message contains suspicious signals that suggest it may be a scam.","0.82","message_0128;message_0127;message_0283"
"msg_076","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_055","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0387;message_0166;message_0165"
"msg_102","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0371;message_0230;message_0170"
"msg_080","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0410;message_0130;message_0150"
"msg_093","mute","scam","Message requests OTP or verification code from the user, consistent with a phishing or scam pattern.","0.9","none"
"msg_034","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_035","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0126;message_0125;message_0281"
"msg_101","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0370;message_0229;message_0268"
"msg_041","mute","scam","The message contains suspicious signals that suggest it may be a scam.","0.82","message_0138;message_0137"
"msg_011","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_110","mute","scam","Message contains instructions attempting to override the routing system, consistent with a prompt injection attack.","0.91","none"
"msg_095","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0087;message_0184;message_0088"
"msg_074","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_073","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0087;message_0184;message_0088"
"msg_054","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0389;message_0164;message_0204"
"msg_068","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0192;message_0191"
"msg_100","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0055;message_0249;message_0228"
"msg_062","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0271;message_0410;message_0130"
"msg_096","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","none"
"msg_043","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0271;message_0410;message_0130"
"msg_077","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0255;message_0037;message_0134"
"msg_081","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0217"
"msg_025","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0106;message_0105;message_0239"
"msg_084","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_022","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0152;message_0151;message_0237"
